  "call.btl01.title": "Automat",
  "call.btl01.scene.caller": "Volající",
  "call.btl01.dialog.1": "Tísòová linka policie.",
  "call.btl01.dialog.2": "Joo, chtìl bych policii prosím.",
  "call.btl01.dialog.3": "Jak Vám mùžu pomoci?",
  "call.btl01.dialog.4": "Hodil jsem peníze do automatu a odmítá mi je to vrátit zpátky.",
  "call.btl01.dialog.5": "Ty prachy nutnì potøebuju, abych si zavolal.",
  "call.btl01.dialog.6": "{ZJISTIT VÍCE} Voláte na tísòovou linku policie, protože jste hodil do automatu peníze a ten Vám je nechce vrátit zpátky?",
  "call.btl01.dialog.7": "Jo, jsem tady v nemocnici a nechce mi to vrátít peníze.",
  "call.btl01.dialog.8": "Musíte sem pøijet a vyøešit to.",
  "call.btl01.dialog.9": "{{KONTAKTOVAT NEMOCNICI} Musíte se obrátit na nemocnici - toto absolutnì není pøípad pro tísòovou linku policie.",
  "call.btl01.dialog.10": "Vhodil jste nìjaké mince do prodejního automatu v nemocnici...",
  "call.btl01.dialog.11": "(Pøerušil) Jo, ty peníze tam zùstaly a nechce mi to, nechce mi je to vrátit.",
  "call.btl01.dialog.12": "{NÁPAD} Musíte se obrátit na provozovatele toho automatu.",
  "call.btl01.dialog.13": "{ZAVÌSIT} Teï ten hovor ukonèím a uvolním linku, kterou blokujete lidem, kteøí mohou mít opravdovou nouzi.",
  "call.btl01.dialog.14": "Tak si polib prdel.",
  "call.btl01.dialog.reminder": ".....",
  "call.btl01.dialog.reminder2": ".....",
  "call.btl01.aar.story": "Volající volal na tísòovou linku kvùli problému s prodejním automatem.",
